Date,Close
4/16/2015,30
4/17/2015,27.58
4/20/2015,24.9
4/21/2015,25.75
4/22/2015,25.12
4/23/2015,25.62
4/24/2015,25.58
4/27/2015,25.9
4/28/2015,24.49
4/29/2015,22.42
4/30/2015,22.24
5/1/2015,21.75
5/4/2015,23.24
5/5/2015,24.15
5/6/2015,23.4
5/7/2015,23.69
5/8/2015,22.71
5/11/2015,20.85
5/12/2015,20.57
5/13/2015,19.83
5/14/2015,20.6
5/15/2015,20.05
5/18/2015,20.56
5/19/2015,21
5/20/2015,17.2
5/21/2015,17.51
5/22/2015,17.17
5/26/2015,17.09
5/27/2015,17.06
5/28/2015,17.04
5/29/2015,16.76
6/1/2015,16.05
6/2/2015,15.86
6/3/2015,15.32
6/4/2015,15.07
6/5/2015,15.03
6/8/2015,14.86
6/9/2015,15.99
6/10/2015,16.78
6/11/2015,16.86
6/12/2015,16.64
6/15/2015,16.32
6/16/2015,16.29
6/17/2015,15.77
6/18/2015,15.33
6/19/2015,14.31
6/22/2015,14.42
6/23/2015,14.34
6/24/2015,14.39
6/25/2015,14.9
6/26/2015,14.25
6/29/2015,14.23
6/30/2015,14.05
7/1/2015,14.01
7/2/2015,13.27
7/6/2015,13.4
7/7/2015,13.32
7/8/2015,14.55
7/9/2015,16.2
7/10/2015,16.53
7/13/2015,16.03
7/14/2015,16.51
7/15/2015,16.82
7/16/2015,16.83
7/17/2015,21.98
7/20/2015,19.56
7/21/2015,18.98
7/22/2015,18.45
7/23/2015,18.44
7/24/2015,19.31
7/27/2015,18.3
7/28/2015,18.65
7/29/2015,18.98
7/30/2015,21.2
7/31/2015,20.84
8/3/2015,20.5
8/4/2015,19.23
8/5/2015,13.78
8/6/2015,13.59
8/7/2015,13.44
8/10/2015,14.29
8/11/2015,16.01
8/12/2015,16.88
8/13/2015,16.99
8/14/2015,17.08
8/17/2015,17.35
8/18/2015,15.86
8/19/2015,14.98
8/20/2015,14.25
8/21/2015,13.46
8/24/2015,12.93
8/25/2015,12.87
8/26/2015,13.04
8/27/2015,14.29
8/28/2015,14.82
8/31/2015,14.33
9/1/2015,14.06
9/2/2015,14.35
9/3/2015,14.02
9/4/2015,14.21
9/8/2015,14.36
9/9/2015,13.99
9/10/2015,14.23
9/11/2015,14.31
9/14/2015,14.38
9/15/2015,14.6
9/16/2015,14.39
9/17/2015,15.61
9/18/2015,15.4
9/21/2015,15.9
9/22/2015,15.18
9/23/2015,14.61
9/24/2015,14.98
9/25/2015,14.11
9/28/2015,13.88
9/29/2015,13.82
9/30/2015,13.69
10/1/2015,14.15
10/2/2015,14.32
10/5/2015,14.66
10/6/2015,14.07
10/7/2015,14.18
10/8/2015,13.57
10/9/2015,13.86
10/12/2015,12.31
10/13/2015,11.6
10/14/2015,10.99
10/15/2015,11.03
10/16/2015,10.99
10/19/2015,10.94
10/20/2015,11.34
10/21/2015,10.68
10/22/2015,11.39
10/23/2015,11.18
10/26/2015,11.27
10/27/2015,10.98
10/28/2015,11.09
10/29/2015,10.91
10/30/2015,10.9
11/2/2015,10.69
