Date,Close
4/6/2018,10.66
4/9/2018,10.79
4/10/2018,10.7
4/11/2018,10.5
4/12/2018,10.47
4/13/2018,10.35
4/16/2018,10.53
4/17/2018,10.87
4/18/2018,11.91
4/19/2018,11.59
4/20/2018,11.38
4/23/2018,10.79
4/24/2018,10.97
4/25/2018,10.62
4/26/2018,10.49
4/27/2018,10.61
4/30/2018,10.49
5/1/2018,10.48
5/2/2018,10.9
5/3/2018,10.89
5/4/2018,10.82
5/7/2018,10.48
5/8/2018,10.39
5/9/2018,10.34
5/10/2018,10.96
5/11/2018,10.52
5/14/2018,10.45
5/15/2018,10.64
5/16/2018,11.98
5/17/2018,11.74
5/18/2018,11.74
5/21/2018,13.61
5/22/2018,13.37
5/23/2018,14.26
5/24/2018,14.61
5/25/2018,14.56
5/29/2018,14.9
5/30/2018,14.61
5/31/2018,14.79
6/1/2018,16.31
6/4/2018,15.31
6/5/2018,16.4
6/6/2018,16
6/7/2018,15.92
6/8/2018,16
6/11/2018,15.87
6/12/2018,16.4
6/13/2018,14.94
6/14/2018,15.96
6/15/2018,15.51
6/18/2018,15.56
6/19/2018,15.1
6/20/2018,15.13
6/21/2018,14.82
6/22/2018,15.39
6/25/2018,14.85
6/26/2018,15.22
6/27/2018,14.82
6/28/2018,14.65
6/29/2018,15
7/2/2018,14.51
7/3/2018,14.87
7/5/2018,15.6
7/6/2018,16.53
7/9/2018,16.25
7/10/2018,15.68
7/11/2018,15.49
7/12/2018,16.08
7/13/2018,15.91
7/16/2018,15.62
7/17/2018,15.66
7/18/2018,15.56
7/19/2018,15.75
7/20/2018,15.31
7/23/2018,15.25
7/24/2018,14.3
7/25/2018,14.46
7/26/2018,14.35
7/27/2018,13.46
7/30/2018,13.55
7/31/2018,14.1
8/1/2018,14.62
8/2/2018,14.87
8/3/2018,14.51
8/6/2018,14.75
8/7/2018,14.46
8/8/2018,14.34
8/9/2018,14.3
8/10/2018,13.84
8/13/2018,14.19
8/14/2018,13.95
8/15/2018,13.42
8/16/2018,13.47
8/17/2018,13.58
8/20/2018,13.84
8/21/2018,14.26
8/22/2018,13.57
8/23/2018,14.35
8/24/2018,14.74
8/27/2018,15.16
8/28/2018,15.1
8/29/2018,14.91
8/30/2018,13.88
8/31/2018,14.25
9/4/2018,13.84
9/5/2018,13.49
9/6/2018,13.65
9/7/2018,13.49
9/10/2018,12.77
9/11/2018,12.41
9/12/2018,13.24
9/13/2018,13.92
9/14/2018,13.63
9/17/2018,13.66
9/18/2018,13.66
9/19/2018,13.44
9/20/2018,13.92
9/21/2018,14.6
9/24/2018,14.24
9/25/2018,14.47
9/26/2018,14.22
9/27/2018,14.16
9/28/2018,13.83
10/1/2018,14.49
10/2/2018,13.9
10/3/2018,13.89
10/4/2018,12.82
10/5/2018,12.92
10/8/2018,12.67
10/9/2018,12.69
10/10/2018,11.91
10/11/2018,11.9
10/12/2018,12.77
10/15/2018,13.09
10/16/2018,13.67
10/17/2018,13.69
10/18/2018,13.19
10/19/2018,12.94
10/22/2018,13.1
10/23/2018,13.04
10/24/2018,12.51
10/25/2018,12.75
10/26/2018,12.62
10/29/2018,12.1
10/30/2018,12.39
10/31/2018,13.05
11/1/2018,13.02
11/2/2018,12.86
11/5/2018,12.21
11/6/2018,12.65
11/7/2018,13.19
11/8/2018,13.05
11/9/2018,12.33
11/12/2018,12.78
11/13/2018,12.44
11/14/2018,12.24
11/15/2018,12.46
11/16/2018,12.51
11/19/2018,12.7
11/20/2018,12.11
11/21/2018,12.8
11/23/2018,12.9
11/26/2018,12.63
11/27/2018,13.33
11/28/2018,13.25
11/29/2018,12.9
11/30/2018,13.34
12/3/2018,13.29
12/4/2018,12.45
12/6/2018,12.44
12/7/2018,12.1
12/10/2018,11.81
12/11/2018,12
12/12/2018,12.23
12/13/2018,12.16
12/14/2018,11.87
12/17/2018,11.71
12/18/2018,11.66
12/19/2018,11.41
12/20/2018,10.99
12/21/2018,10.74
12/24/2018,10.74
12/26/2018,11.39
12/27/2018,11.4
12/28/2018,11.15
12/31/2018,11.32
1/2/2019,11.05
1/3/2019,10.72
1/4/2019,11.56
1/7/2019,11.95
1/8/2019,12.3
1/9/2019,12.5
1/10/2019,12.57
1/11/2019,12.57
1/14/2019,12.05
1/15/2019,12.18
1/16/2019,12.38
1/17/2019,12.39
1/18/2019,12.6
1/22/2019,13.05
1/23/2019,12.71
1/24/2019,13.12
1/25/2019,13.63
1/28/2019,13.51
1/29/2019,13.45
1/30/2019,13.56
1/31/2019,14.01
2/1/2019,15.33
2/4/2019,14.96
2/5/2019,15.02
2/6/2019,14.8
2/7/2019,14.75
2/8/2019,15.1
2/11/2019,15.51
2/12/2019,16
2/13/2019,15.88
2/14/2019,16
2/15/2019,16
2/19/2019,16
2/20/2019,15.84
2/21/2019,15.71
2/22/2019,15.99
2/25/2019,15.9
2/26/2019,16.2
2/27/2019,21.86
2/28/2019,21.5
3/1/2019,23.2
3/4/2019,23.01
3/5/2019,24.06
3/6/2019,22.88
3/7/2019,23.44
3/8/2019,23.7
3/11/2019,23.32
3/12/2019,23.1
3/13/2019,22.88
3/14/2019,22.9
3/15/2019,23.51
3/18/2019,24.22
3/19/2019,24.04
3/20/2019,24.37
3/21/2019,24.65
3/22/2019,24.15
3/25/2019,23.97
3/26/2019,24.36
3/27/2019,23.8
3/28/2019,23.53
3/29/2019,23.52
4/1/2019,23.35
4/2/2019,23.3
4/3/2019,23.31
4/4/2019,22
4/5/2019,23
4/8/2019,22.35
4/9/2019,22.1
4/10/2019,22.52
4/11/2019,23.41
4/12/2019,23.63
4/15/2019,23.65
4/16/2019,23.45
4/17/2019,22.85
4/18/2019,22.97
4/22/2019,23.68
4/23/2019,24.42
4/24/2019,24.5
4/25/2019,24.35
4/26/2019,25.55
4/29/2019,25.36
4/30/2019,24.89
5/1/2019,24.97
5/2/2019,24.7
5/3/2019,25.2
5/6/2019,25.19
5/7/2019,24.3
5/8/2019,24.59
5/9/2019,24.74
5/10/2019,25.69
5/13/2019,24.38
5/14/2019,24.92
5/15/2019,25.6
5/16/2019,26.93
5/17/2019,26.67
5/20/2019,25.8
5/21/2019,25.39
5/22/2019,31.5
5/23/2019,30.59
5/24/2019,29.99
5/28/2019,29.19
5/29/2019,28.33
5/30/2019,28.37
5/31/2019,28.44
6/3/2019,27.97
6/4/2019,28.73
6/5/2019,29.23
6/6/2019,29.74
6/7/2019,30.85
6/10/2019,30.8
6/11/2019,30.49
6/12/2019,31.22
6/13/2019,30.76
6/14/2019,29.96
6/17/2019,29.95
6/18/2019,31.26
6/19/2019,31.49
6/20/2019,32.3
6/21/2019,34.45
6/24/2019,34.19
6/25/2019,33.42
6/26/2019,33.81
6/27/2019,33.77
6/28/2019,33.22
7/1/2019,34.27
7/2/2019,35.14
7/3/2019,35.69
7/5/2019,35.71
7/8/2019,35.36
7/9/2019,35.57
7/10/2019,36.08
7/11/2019,36
7/12/2019,35.17
7/15/2019,35.17
7/16/2019,35.21
7/17/2019,34.31
7/18/2019,34.42
7/19/2019,34.65
7/22/2019,35.25
7/23/2019,35.07
