Date,Close
7/1/2015,28.5
7/2/2015,28
7/6/2015,26.69
7/7/2015,27.01
7/8/2015,26.25
7/9/2015,26.66
7/10/2015,29.28
7/13/2015,30.96
7/14/2015,31.96
7/15/2015,30.69
7/16/2015,30.95
7/17/2015,30.6
7/20/2015,29.89
7/21/2015,30.5
7/22/2015,31.09
7/23/2015,30.54
7/24/2015,32.15
7/27/2015,31.31
7/28/2015,30.83
7/29/2015,31.57
7/30/2015,30.91
7/31/2015,31.57
8/3/2015,33.2
8/4/2015,34.82
8/5/2015,33.06
8/6/2015,32.07
8/7/2015,30.83
8/10/2015,30.47
8/11/2015,28.76
8/12/2015,28.51
8/13/2015,29.79
8/14/2015,28.52
8/17/2015,29.23
8/18/2015,28.3
8/19/2015,26.85
8/20/2015,26.5
8/21/2015,25.64
8/24/2015,23.88
8/25/2015,23.2
8/26/2015,25.28
8/27/2015,26.13
8/28/2015,27.72
8/31/2015,25.74
9/1/2015,22.85
9/2/2015,22.15
9/3/2015,22.41
9/4/2015,20.82
9/8/2015,20.53
9/9/2015,22.56
9/10/2015,22.98
9/11/2015,23.5
9/14/2015,23.07
9/15/2015,22.99
9/16/2015,22.06
9/17/2015,22.15
9/18/2015,21.96
9/21/2015,22.24
9/22/2015,24.5
9/23/2015,24.46
9/24/2015,24.33
9/25/2015,22.35
9/28/2015,20.63
9/29/2015,21
9/30/2015,22.29
10/1/2015,22.81
10/2/2015,18.24
10/5/2015,17.49
10/6/2015,16.64
10/7/2015,16.23
10/8/2015,16.8
10/9/2015,17.25
10/12/2015,18.03
10/13/2015,18
10/14/2015,18.08
10/15/2015,18.12
10/16/2015,18
10/19/2015,18.21
10/20/2015,17.84
10/21/2015,18.59
10/22/2015,17.27
10/23/2015,18.2
10/26/2015,18.42
10/27/2015,18.94
10/28/2015,20.07
10/29/2015,19.67
10/30/2015,19.67
11/2/2015,19.59
11/3/2015,17.59
11/4/2015,17.19
11/5/2015,16
11/6/2015,15.61
11/9/2015,16.2
11/10/2015,15.84
11/11/2015,16.25
11/12/2015,17.36
11/13/2015,17.58
11/16/2015,18.23
11/17/2015,19.36
